id,brand_name,product_name,sku,original_price,recieve_date,exp_date,image_urls
1,brand_4,product_46,415,145.98,2020-05-31,2021-03-20,
2,brand_37,product_1,614,832.14,2020-05-30,2021-03-26,
3,brand_12,product_20,122,314.76,2020-10-19,2021-04-17,
4,brand_8,product_21,45,349.75,2020-02-18,2021-07-19,
5,brand_46,product_17,115,140.06,2020-05-14,2021-08-11,
6,brand_17,product_31,27,20.14,2020-06-28,2021-10-01,
7,brand_48,product_42,917,141.52,2020-12-09,2021-08-28,
8,brand_31,product_9,901,891.22,2020-09-21,2021-11-02,
9,brand_43,product_45,13,919.83,2020-01-08,2021-05-31,
10,brand_40,product_42,223,770.31,2020-07-28,2021-11-17,
11,brand_43,product_14,986,598.67,2020-09-11,2021-03-18,
12,brand_14,product_10,16,43.96,2020-04-27,2021-03-20,
13,brand_20,product_38,596,32.17,2020-02-06,2021-01-19,
14,brand_10,product_47,745,102.45,2020-03-12,2021-08-31,
15,brand_5,product_48,738,117.61,2020-11-18,2021-10-15,
16,brand_4,product_16,33,769.81,2020-11-05,2021-06-10,
17,brand_18,product_10,357,647.23,2020-07-10,2021-03-28,
18,brand_45,product_37,521,872.65,2020-03-07,2021-06-12,
19,brand_9,product_27,360,123.41,2020-02-09,2021-08-26,
20,brand_45,product_10,231,340,2020-04-24,2021-02-24,
21,brand_13,product_20,55,38.35,2020-09-23,2021-02-23,
22,brand_44,product_40,968,916.18,2020-05-09,2021-07-05,
23,brand_29,product_35,316,872.67,2020-02-29,2021-09-04,
24,brand_32,product_29,186,155.64,2020-08-28,2021-12-06,
25,brand_34,product_18,548,805.56,2020-04-22,2021-04-25,
26,brand_12,product_0,898,48.08,2020-05-22,2021-03-02,
27,brand_27,product_3,215,29.29,2020-08-04,2021-08-16,
28,brand_24,product_33,960,132.84,2020-12-13,2021-05-03,
29,brand_8,product_45,349,34.97,2020-09-17,2021-09-20,
30,brand_46,product_38,692,329.39,2020-08-27,2021-09-23,
31,brand_14,product_26,1000,476.07,2020-06-26,2021-02-20,
32,brand_14,product_39,226,366.88,2020-06-29,2021-07-31,
33,brand_12,product_37,747,304.81,2020-01-02,2021-12-04,
34,brand_1,product_27,286,93.83,2020-01-03,2021-10-10,
35,brand_2,product_19,588,806.71,2020-04-13,2021-08-06,
36,brand_6,product_40,325,153.88,2020-12-26,2021-06-28,
37,brand_43,product_35,552,149.41,2020-08-27,2021-04-13,
38,brand_32,product_21,979,539.43,2020-03-03,2021-03-10,
39,brand_43,product_6,744,736.03,2020-02-05,2021-04-14,
40,brand_12,product_42,670,110.23,2020-09-14,2021-10-19,
41,brand_37,product_44,805,216.25,2020-04-15,2021-01-29,
42,brand_2,product_40,868,559.62,2020-09-13,2021-09-17,
43,brand_47,product_23,556,474.81,2020-12-04,2021-10-25,
44,brand_30,product_42,558,868.27,2020-10-18,2021-03-06,
45,brand_35,product_23,64,610.16,2020-08-31,2021-01-06,
46,brand_44,product_10,185,79.48,2020-04-14,2021-02-19,
47,brand_21,product_21,842,153.83,2020-06-19,2021-06-22,
48,brand_13,product_43,962,96.78,2020-07-15,2021-06-27,
49,brand_49,product_35,350,338.96,2020-12-07,2021-01-24,
50,brand_8,product_32,729,433.14,2020-03-15,2021-12-04,
51,brand_7,product_3,641,841.57,2020-09-19,2021-09-05,
52,brand_25,product_7,615,110.68,2020-12-01,2021-01-19,
53,brand_31,product_1,256,377.8,2020-03-05,2021-07-27,
54,brand_11,product_7,304,328.87,2020-12-20,2021-01-31,
55,brand_0,product_4,125,922.5,2020-05-27,2021-12-22,
56,brand_46,product_15,840,505.95,2020-06-18,2021-07-07,
57,brand_8,product_26,682,292.61,2020-10-04,2021-02-08,
58,brand_6,product_39,112,702.73,2020-11-10,2021-03-17,
59,brand_36,product_4,676,364.81,2020-08-06,2021-07-06,
60,brand_37,product_18,706,10.61,2020-03-14,2021-09-26,
61,brand_11,product_15,382,290.84,2020-04-18,2021-10-22,
62,brand_16,product_12,117,11.69,2020-09-17,2021-09-02,
63,brand_15,product_42,827,470.06,2020-06-26,2021-06-16,
64,brand_33,product_15,764,458.8,2020-05-29,2021-08-22,
65,brand_22,product_11,939,294.23,2020-01-24,2021-09-03,
66,brand_39,product_4,636,141.94,2020-11-17,2021-07-28,
67,brand_26,product_6,103,408.1,2020-12-22,2021-05-04,
68,brand_24,product_30,439,145.73,2020-10-03,2021-01-30,
69,brand_10,product_23,848,860.07,2020-09-25,2021-07-05,
70,brand_5,product_16,75,999.64,2020-12-25,2021-09-24,
71,brand_7,product_37,682,425.7,2020-09-23,2021-11-28,
72,brand_29,product_13,826,77.79,2020-08-03,2021-04-22,
73,brand_14,product_13,507,86.41,2020-05-07,2021-03-01,
74,brand_8,product_29,650,504.1,2020-08-01,2021-04-03,
75,brand_43,product_42,568,46.49,2020-05-20,2021-03-04,
76,brand_33,product_30,591,963.35,2020-01-09,2021-09-18,
77,brand_5,product_11,786,303.25,2020-12-31,2021-07-26,
78,brand_14,product_23,616,779.31,2020-03-20,2021-10-31,
79,brand_26,product_15,477,511.52,2020-03-11,2021-07-22,
80,brand_19,product_15,724,932.27,2020-05-07,2021-07-17,
81,brand_38,product_8,238,217.23,2020-01-23,2021-02-07,
82,brand_29,product_1,227,309.73,2020-07-30,2021-05-14,
83,brand_7,product_5,765,340.8,2020-05-29,2021-08-20,
84,brand_13,product_21,313,949.46,2020-05-21,2021-01-25,
85,brand_41,product_18,715,548.56,2020-08-27,2021-05-03,
86,brand_29,product_11,405,430.57,2020-04-22,2021-05-31,
87,brand_30,product_39,993,936.07,2020-08-23,2021-08-18,
88,brand_30,product_31,752,847.25,2020-11-22,2021-11-18,
89,brand_34,product_1,961,639.32,2020-03-11,2021-10-08,
90,brand_7,product_30,35,577.03,2020-01-26,2021-12-06,
91,brand_14,product_0,51,143.08,2020-12-27,2021-12-12,
92,brand_18,product_26,561,389.31,2020-01-20,2021-04-09,
93,brand_10,product_11,117,741.44,2020-10-01,2021-10-06,
94,brand_12,product_16,199,985.36,2020-03-12,2021-04-06,
95,brand_7,product_36,525,541.64,2020-05-04,2021-08-13,
96,brand_12,product_4,717,854.26,2020-09-20,2021-01-28,
97,brand_34,product_13,395,791.86,2020-12-12,2021-07-28,
98,brand_8,product_26,936,908.32,2020-04-05,2021-09-16,
99,brand_0,product_20,415,462.58,2020-12-05,2021-03-17,
100,brand_47,product_3,297,621.57,2020-01-18,2021-02-13,
