id,brand_name,product_name,sku,recieve_date,exp_date,orginal_price,image_urls
1,brand_21,product_40,227,2020-07-29,2021-12-28,885.96,product_brand_[object Object]
2,brand_44,product_11,258,2020-08-21,2021-02-16,68.69,product_brand_[object Object]
3,brand_19,product_2,858,2020-07-15,2021-09-16,751.97,product_brand_[object Object]
4,brand_23,product_6,338,2020-10-30,2021-02-23,611.67,product_brand_[object Object]
5,brand_45,product_35,844,2020-08-10,2021-08-10,87.78,product_brand_[object Object]
6,brand_22,product_9,216,2020-09-30,2021-09-05,278.35,product_brand_[object Object]
7,brand_37,product_35,443,2020-05-02,2021-11-16,47.14,product_brand_[object Object]
8,brand_35,product_30,343,2020-07-31,2021-05-13,73.36,product_brand_[object Object]
9,brand_32,product_37,947,2020-05-03,2021-09-06,160.45,product_brand_[object Object]
10,brand_19,product_13,78,2020-04-24,2021-03-30,740.78,product_brand_[object Object]
11,brand_33,product_14,950,2020-11-20,2021-07-11,484.31,product_brand_[object Object]
12,brand_47,product_38,550,2020-01-03,2021-09-02,895.36,product_brand_[object Object]
13,brand_38,product_41,666,2020-07-05,2021-06-05,512.13,product_brand_[object Object]
14,brand_39,product_37,142,2020-07-11,2021-06-14,994.78,product_brand_[object Object]
15,brand_37,product_34,779,2020-04-15,2021-08-17,547.19,product_brand_[object Object]
16,brand_39,product_42,104,2020-08-06,2021-05-17,95,product_brand_[object Object]
17,brand_16,product_5,418,2020-09-05,2021-06-24,777.42,product_brand_[object Object]
18,brand_16,product_1,897,2020-03-16,2021-11-03,448.35,product_brand_[object Object]
19,brand_9,product_25,36,2020-01-22,2021-04-13,911.01,product_brand_[object Object]
20,brand_11,product_14,762,2020-11-18,2021-02-10,419.64,product_brand_[object Object]
21,brand_49,product_25,372,2020-04-23,2021-04-23,542.73,product_brand_[object Object]
22,brand_37,product_31,72,2020-01-31,2021-12-31,690.12,product_brand_[object Object]
23,brand_32,product_21,717,2020-05-01,2021-11-25,339.94,product_brand_[object Object]
24,brand_40,product_34,919,2020-01-03,2021-10-07,245.2,product_brand_[object Object]
25,brand_14,product_32,948,2020-08-13,2021-03-15,412.8,product_brand_[object Object]
26,brand_2,product_26,495,2020-06-23,2021-01-22,215.79,product_brand_[object Object]
27,brand_42,product_12,115,2020-05-19,2021-10-25,165.16,product_brand_[object Object]
28,brand_26,product_6,842,2020-05-30,2021-02-08,657.92,product_brand_[object Object]
29,brand_0,product_45,513,2020-12-06,2021-08-27,340.86,product_brand_[object Object]
30,brand_12,product_14,46,2020-07-23,2021-07-29,977.14,product_brand_[object Object]
31,brand_33,product_25,777,2020-02-03,2021-12-23,112.06,product_brand_[object Object]
32,brand_36,product_34,585,2020-02-18,2021-03-02,258.99,product_brand_[object Object]
33,brand_27,product_43,680,2020-02-24,2021-04-05,318.11,product_brand_[object Object]
34,brand_37,product_6,779,2020-06-17,2021-11-23,53.77,product_brand_[object Object]
35,brand_33,product_24,57,2020-09-14,2021-09-04,221.61,product_brand_[object Object]
